datetime,duration,magnitude,ons type,V max,B max,ons_label,t_izmiran
2017-05-27 15:34:00,46,2.83,SSC,401.0,22.8,ICME-shock,2017-05-27 15:34:00
2017-05-30 01:00:00,41,0.88,,539.0,9.2,,2017-05-30 01:00:00
2017-06-01 10:00:00,36,0.41,,432.0,9.5,,2017-06-01 10:00:00
2017-06-03 08:00:00,25,0.5,,480.0,12.1,,2017-06-03 08:00:00
2017-06-04 12:00:00,19,0.15,,433.0,5.0,,2017-06-04 12:00:00
2017-06-05 10:00:00,38,0.38,,380.0,6.9,,2017-06-05 10:00:00
2017-06-08 21:00:00,40,0.28,,327.0,5.2,,2017-06-08 21:00:00
2017-06-11 14:40:00,91,0.62,,527.0,12.7,,2017-06-11 14:40:00
2017-06-16 03:00:00,29,1.03,,623.0,13.7,,2017-06-16 03:00:00
2017-06-17 12:00:00,60,0.46,,594.0,8.3,,2017-06-17 12:00:00
2017-06-21 01:00:00,35,0.67,,346.0,7.0,,2017-06-21 01:00:00
2017-06-22 19:00:00,39,0.46,,389.0,7.7,,2017-06-22 19:00:00
2017-06-24 20:00:00,40,1.16,,548.0,10.0,,2017-06-24 20:00:00
2017-06-26 21:00:00,36,0.43,,519.0,5.9,,2017-06-26 21:00:00
2017-06-28 22:00:00,42,0.32,,438.0,5.7,,2017-06-28 22:00:00
2017-07-01 07:00:00,29,0.62,,494.0,18.2,,2017-07-01 07:00:00
2017-07-03 03:16:00,26,0.41,,440.0,5.7,,2017-07-03 03:16:00
2017-07-04 08:00:00,36,0.32,,358.0,4.5,,2017-07-04 08:00:00
2017-07-06 21:00:00,24,0.35,,416.0,7.2,,2017-07-06 21:00:00
2017-07-09 00:10:00,32,0.51,SSC,598.0,13.5,ICME-shock,2017-07-09 00:10:00
2017-07-10 13:00:00,73,1.04,,646.0,9.7,,2017-07-10 13:00:00
2017-07-16 05:59:00,39,5.41,SSC,625.0,23.7,ICME-shock,2017-07-16 05:59:00
2017-07-18 05:00:00,23,0.54,,606.0,10.2,,2017-07-18 05:00:00
2017-07-19 07:00:00,23,0.24,,425.0,3.5,,2017-07-19 07:00:00
2017-07-20 09:00:00,59,1.51,,715.0,10.3,,2017-07-20 09:00:00
2017-07-23 13:00:00,38,0.67,,702.0,7.9,,2017-07-23 13:00:00
2017-07-25 12:00:00,30,0.5,,642.0,7.1,,2017-07-25 12:00:00
2017-07-26 19:00:00,76,0.62,,525.0,6.9,,2017-07-26 19:00:00
2017-07-31 19:00:00,61,1.37,,455.0,9.8,,2017-07-31 19:00:00
2017-08-03 11:00:00,105,0.83,,711.0,18.6,,2017-08-03 11:00:00
2017-08-11 03:00:00,80,0.71,,602.0,11.6,,2017-08-11 03:00:00
2017-08-15 19:00:00,13,0.23,,377.0,5.5,,2017-08-15 19:00:00
2017-08-16 10:00:00,126,2.32,,752.0,12.5,,2017-08-16 10:00:00
2017-08-21 22:00:00,49,0.74,,613.0,7.9,,2017-08-21 22:00:00
2017-08-27 14:00:00,37,0.48,,345.0,9.3,,2017-08-27 14:00:00
2017-08-29 18:00:00,28,0.44,,381.0,9.7,,2017-08-29 18:00:00
2017-08-31 05:38:00,97,0.9,SSC,638.0,20.8,ICME-shock,2017-08-31 05:38:00
2017-09-04 16:00:00,46,0.56,,604.0,7.5,,2017-09-04 16:00:00
2017-09-06 23:43:00,20,1.42,SSC,581.0,14.4,ICME-shock,2017-09-06 23:43:00
2017-09-07 23:00:00,62,5.76,SSC,817.0,27.3,ICME-shock,2017-09-07 23:00:00
2017-09-10 18:00:00,36,,,632.0,4.3,,2017-09-10 18:00:00
2017-09-12 20:02:00,27,0.85,SSC,621.0,13.7,ICME-shock,2017-09-12 20:02:00
2017-09-14 03:00:00,7,0.22,,370.0,7.0,,2017-09-14 03:00:00
2017-09-14 11:16:00,73,1.76,SSC,715.0,19.9,ICME-shock,2017-09-14 11:16:00
2017-09-17 12:00:00,36,0.56,,673.0,6.6,,2017-09-17 12:00:00
2017-09-24 22:00:00,30,0.55,,397.0,9.7,,2017-09-24 22:00:00
2017-09-26 08:00:00,11,0.18,,322.0,3.4,,2017-09-26 08:00:00
2017-09-27 01:00:00,62,1.35,,697.0,14.2,,2017-09-27 01:00:00
2017-09-30 19:00:00,27,0.35,,490.0,5.2,,2017-09-30 19:00:00
2017-10-02 02:00:00,20,0.3,,480.0,5.2,,2017-10-02 02:00:00
2017-10-03 01:00:00,22,0.4,,413.0,5.8,,2017-10-03 01:00:00
2017-10-05 01:00:00,43,0.82,,448.0,8.8,,2017-10-05 01:00:00
2017-10-07 07:00:00,33,0.59,,441.0,7.4,,2017-10-07 07:00:00
2017-10-09 19:00:00,21,0.2,,337.0,4.1,,2017-10-09 19:00:00
2017-10-10 22:00:00,49,0.8,,559.0,11.6,,2017-10-10 22:00:00
2017-10-13 13:00:00,91,0.86,,713.0,8.9,,2017-10-13 13:00:00
2017-10-19 04:00:00,41,0.38,,470.0,9.6,,2017-10-19 04:00:00
2017-10-21 06:10:00,33,1.0,SSC,481.0,10.0,ICME-shock,2017-10-21 06:10:00
2017-10-22 21:00:00,30,0.5,,395.0,6.6,,2017-10-22 21:00:00
2017-10-24 08:00:00,59,0.78,,614.0,13.4,,2017-10-24 08:00:00
2017-10-27 12:00:00,36,0.43,,458.0,5.3,,2017-10-27 12:00:00
2017-11-01 10:00:00,80,1.8,,422.0,12.6,,2017-11-01 10:00:00
2017-11-07 04:00:00,67,1.48,,655.0,16.1,,2017-11-07 04:00:00
2017-11-10 03:00:00,70,0.47,SI,686.0,7.7,weak-impulse,2017-11-10 03:00:00
2017-11-14 02:00:00,28,0.86,,404.0,8.6,,2017-11-14 02:00:00
2017-11-15 10:00:00,54,0.85,,504.0,14.2,,2017-11-15 10:00:00
2017-11-18 20:00:00,26,0.33,,393.0,4.1,,2017-11-18 20:00:00
2017-11-20 15:00:00,36,1.29,,611.0,13.1,,2017-11-20 15:00:00
2017-11-22 12:00:00,55,0.46,,516.0,7.6,,2017-11-22 12:00:00
2017-11-25 00:34:00,36,0.52,SSC,439.0,7.8,ICME-shock,2017-11-25 00:34:00
2017-11-27 14:42:00,39,0.7,SSC,480.0,9.0,ICME-shock,2017-11-27 14:42:00
2017-11-29 21:00:00,69,1.05,,495.0,9.3,,2017-11-29 21:00:00
2017-12-04 16:13:00,94,1.34,SSC,622.0,12.2,ICME-shock,2017-12-04 16:13:00
2017-12-11 03:00:00,69,0.76,,517.0,10.9,,2017-12-11 03:00:00
2017-12-14 01:00:00,23,0.29,,437.0,6.6,,2017-12-14 01:00:00
2017-12-16 22:00:00,36,0.45,,643.0,11.7,,2017-12-16 22:00:00
