repr_time,n_stations,stations,drop_mean,drop_max,A_complex_mean,A_complex_max
2020-06-14 19:26:00,2,"JUNG1,KERG",2.964859339906435,3.207383176299672,4.223319040268556,4.343317933072388
2020-06-15 18:02:00,5,"APTY,INVK,JUNG1,MXCO,OULU",3.554680434210997,4.515113677314084,4.352413734443719,4.816173860129633
2020-06-16 09:18:00,1,KERG,3.180407072286446,3.180407072286446,3.5994257449091713,3.5994257449091713
2020-06-17 12:00:00,5,"APTY,INVK,JUNG1,KERG,LMKS",2.865106792221189,3.3788866734924703,3.7095986683162954,4.48928029636073
2020-06-18 08:46:00,3,"AATB,JUNG1,OULU",2.9765503555248274,4.311006637513277,3.5571026033855535,3.6708374245491164
2020-06-19 05:43:00,3,"AATB,MXCO,NEWK",2.9868689304950977,4.321049469256957,3.592572773290488,3.916866752573073
2020-06-19 21:16:00,3,"APTY,JUNG1,LMKS",3.4906227487396353,3.927244444444568,4.3425423244961925,5.110439768776104
2020-06-20 17:44:00,2,"KERG,NEWK",3.294154344945499,3.4999260327474135,3.6563946892117407,4.099302036685258
2020-06-21 06:10:00,3,"AATB,APTY,OULU",3.3016155667347262,4.082455142360247,4.422291332789278,5.033019609690161
2020-06-21 20:12:00,1,LMKS,2.922390645366633,2.922390645366633,3.6159441222938624,3.6159441222938624
2020-06-22 14:10:00,2,"APTY,KERG",3.689369215699406,4.022707017618604,4.905601386075582,5.385079312357194
2020-06-23 13:14:00,7,"AATB,DOMC,INVK,JUNG1,LMKS,NEWK,OULU",3.4263952129528534,7.127563480787792,4.054597261242614,5.822786353437726
2020-06-24 01:46:00,1,OULU,4.2667542116282275,4.2667542116282275,5.790841400041939,5.790841400041939
2020-06-25 02:12:00,1,JUNG1,2.518291392104282,2.518291392104282,3.6087087785581313,3.6087087785581313
2020-06-25 15:18:00,1,JUNG1,2.29090152556096,2.29090152556096,4.220273734886566,4.220273734886566
2020-06-26 23:10:00,4,"DOMC,LMKS,MXCO,OULU",4.222157085828133,7.957124666303081,4.2390938762505606,4.948292907641517
2020-06-27 17:24:00,2,"INVK,JUNG1",2.930754725739204,2.978892955638598,3.584832018942683,4.21826843579571
