group_id,repr_time,anchor_onset_time,time_start,time_end,group_span_h,n_trigger_events,n_trigger_stations,trigger_stations,trigger_drop_mean,trigger_drop_max,trigger_A_complex_mean,onset_min,onset_max,min_time_min,min_time_max,n_supported_stations,supported_stations,n_support_only_stations,support_only_stations,mean_supported_drop,median_supported_drop,max_supported_drop,catalog_tier,fd_scope,quality,promoted_from_single_trigger,year
146,2019-08-23 20:58:00+00:00,2019-08-23 15:56:00+00:00,2019-08-23 15:56:00+00:00,2019-08-23 20:58:00+00:00,5.033333333333333,1,1,JUNG1,2.830584908813985,2.830584908813985,4.246552256269695,2019-08-23 15:56:00+00:00,2019-08-23 15:56:00+00:00,2019-08-23 20:58:00+00:00,2019-08-23 20:58:00+00:00,1,JUNG1,0,,2.830584908813985,2.830584908813985,2.830584908813985,exploratory,single_station_candidate,C,False,2019
153,2019-09-25 23:40:00+00:00,2019-09-24 18:10:00+00:00,2019-09-24 18:10:00+00:00,2019-09-25 23:40:00+00:00,29.5,1,1,KERG,3.24649074555779,3.24649074555779,10.933826498335186,2019-09-24 18:10:00+00:00,2019-09-24 18:10:00+00:00,2019-09-25 23:40:00+00:00,2019-09-25 23:40:00+00:00,1,KERG,0,,3.24649074555779,3.24649074555779,3.24649074555779,exploratory,single_station_candidate,C,False,2019
160,2019-10-22 04:00:00+00:00,2019-10-21 15:54:00+00:00,2019-10-21 15:54:00+00:00,2019-10-22 04:00:00+00:00,12.1,1,1,DOMC,8.225395999114978,8.225395999114978,6.213927840182495,2019-10-21 15:54:00+00:00,2019-10-21 15:54:00+00:00,2019-10-22 04:00:00+00:00,2019-10-22 04:00:00+00:00,1,DOMC,0,,8.225395999114978,8.225395999114978,8.225395999114978,exploratory,single_station_candidate,C,False,2019
167,2019-11-26 21:06:00+00:00,2019-11-25 13:14:00+00:00,2019-11-25 13:14:00+00:00,2019-11-26 21:06:00+00:00,31.866666666666667,1,1,KERG,2.728120042665031,2.728120042665031,6.58302366479257,2019-11-25 13:14:00+00:00,2019-11-25 13:14:00+00:00,2019-11-26 21:06:00+00:00,2019-11-26 21:06:00+00:00,1,KERG,0,,2.728120042665031,2.728120042665031,2.728120042665031,exploratory,single_station_candidate,C,False,2019
174,2019-12-26 02:48:00+00:00,2019-12-25 05:46:00+00:00,2019-12-25 05:46:00+00:00,2019-12-26 02:48:00+00:00,21.033333333333335,1,1,LMKS,3.5951187446882384,3.5951187446882384,7.314797049990871,2019-12-25 05:46:00+00:00,2019-12-25 05:46:00+00:00,2019-12-26 02:48:00+00:00,2019-12-26 02:48:00+00:00,1,LMKS,0,,3.5951187446882384,3.5951187446882384,3.5951187446882384,exploratory,single_station_candidate,C,False,2019
177,2020-01-03 23:08:00+00:00,2020-01-03 04:48:00+00:00,2020-01-03 04:48:00+00:00,2020-01-03 23:08:00+00:00,18.333333333333332,1,1,LMKS,2.6023897649199297,2.6023897649199297,8.7130940066764,2020-01-03 04:48:00+00:00,2020-01-03 04:48:00+00:00,2020-01-03 23:08:00+00:00,2020-01-03 23:08:00+00:00,1,LMKS,0,,2.6023897649199297,2.6023897649199297,2.6023897649199297,exploratory,single_station_candidate,C,False,2020
179,2020-01-11 19:12:00+00:00,2020-01-10 08:56:00+00:00,2020-01-10 08:56:00+00:00,2020-01-11 19:12:00+00:00,34.266666666666666,1,1,JUNG1,3.1693710486110938,3.1693710486110938,9.389361036394778,2020-01-10 08:56:00+00:00,2020-01-10 08:56:00+00:00,2020-01-11 19:12:00+00:00,2020-01-11 19:12:00+00:00,1,JUNG1,0,,3.1693710486110938,3.1693710486110938,3.1693710486110938,exploratory,single_station_candidate,C,False,2020
191,2020-02-25 21:34:00+00:00,2020-02-24 09:50:00+00:00,2020-02-24 09:50:00+00:00,2020-02-25 21:34:00+00:00,35.733333333333334,1,1,AATB,3.4365851701739225,3.4365851701739225,10.49015121843282,2020-02-24 09:50:00+00:00,2020-02-24 09:50:00+00:00,2020-02-25 21:34:00+00:00,2020-02-25 21:34:00+00:00,1,AATB,0,,3.4365851701739225,3.4365851701739225,3.4365851701739225,exploratory,single_station_candidate,C,False,2020
196,2020-03-06 09:10:00+00:00,2020-03-05 16:46:00+00:00,2020-03-05 16:46:00+00:00,2020-03-06 09:10:00+00:00,16.4,1,1,INVK,3.401363141967822,3.401363141967822,4.592705406404881,2020-03-05 16:46:00+00:00,2020-03-05 16:46:00+00:00,2020-03-06 09:10:00+00:00,2020-03-06 09:10:00+00:00,1,INVK,0,,3.401363141967822,3.401363141967822,3.401363141967822,exploratory,single_station_candidate,C,False,2020
202,2020-04-01 03:06:00+00:00,2020-03-31 19:02:00+00:00,2020-03-31 19:02:00+00:00,2020-04-01 03:06:00+00:00,8.066666666666666,1,1,KERG,3.469038740777578,3.469038740777578,4.186706952954752,2020-03-31 19:02:00+00:00,2020-03-31 19:02:00+00:00,2020-04-01 03:06:00+00:00,2020-04-01 03:06:00+00:00,1,KERG,0,,3.469038740777578,3.469038740777578,3.469038740777578,exploratory,single_station_candidate,C,False,2020
