station,onset_time,min_time,rec_time,drop_percent,A_complex_max,bg_level_pre,level
JUNG1,2019-08-27 10:02:00,2019-08-27 21:12:00,2019-08-27 21:14:00,3.517888974772357,5.333881571645921,0.12504543983889954,strict
JUNG1,2019-08-29 15:38:00,2019-08-29 18:16:00,2019-08-29 18:18:00,3.2517825770516526,5.4158524426526995,0.09987134368257455,strict
JUNG1,2020-01-29 14:50:00,2020-01-30 17:12:00,2020-01-30 17:14:00,3.231257553820076,5.021067095988938,-0.3730683638027501,strict
JUNG1,2020-04-11 06:10:00,2020-04-12 04:12:00,2020-04-12 04:14:00,2.5733985461806723,6.191623205618922,0.06493179644637796,strict
JUNG1,2020-05-19 01:54:00,2020-05-19 09:44:00,2020-05-19 09:46:00,2.4232992106665843,5.483382792979973,0.04279886930185518,strict
JUNG1,2020-05-19 07:46:00,2020-05-21 03:44:00,2020-05-21 03:46:00,2.684598074631224,7.843958802387841,-0.01675499783949193,strict
JUNG1,2020-05-19 16:52:00,2020-05-21 09:32:00,2020-05-21 09:34:00,3.540802122210042,6.0173178156953036,-0.055364018421125726,strict
JUNG1,2020-05-20 04:48:00,2020-05-22 02:50:00,2020-05-22 02:52:00,4.280755541319121,8.796581818506235,0.1680312920550034,strict
JUNG1,2020-05-20 12:06:00,2020-05-22 02:50:00,2020-05-22 02:52:00,4.376659653711406,11.890165781752955,0.2639354044472883,strict
JUNG1,2020-05-20 18:46:00,2020-05-22 02:50:00,2020-05-22 02:52:00,4.542548192571655,5.253918000987046,0.42982394330753726,strict
JUNG1,2020-05-21 09:30:00,2020-05-22 02:50:00,2020-05-22 02:52:00,4.164557670284547,6.443051675002207,0.05183342102042936,strict
JUNG1,2020-05-21 19:40:00,2020-05-22 02:50:00,2020-05-22 02:52:00,3.883103992270922,8.638789325117118,-0.22962025699319574,strict
JUNG1,2020-05-22 09:36:00,2020-05-24 04:14:00,2020-05-24 04:16:00,3.7296391061208194,7.028857158348487,-0.3232383384388688,strict
JUNG1,2020-05-22 15:54:00,2020-05-24 04:14:00,2020-05-24 04:16:00,3.7792804985239474,7.362696722959029,-0.2735969460357406,strict
JUNG1,2020-05-22 23:22:00,2020-05-24 04:14:00,2020-05-24 04:16:00,4.041624199768733,7.377540401517783,-0.011253244790955866,strict
JUNG1,2020-05-23 12:40:00,2020-05-24 04:14:00,2020-05-24 04:16:00,4.734280431295984,5.173145664101233,0.6814029867362957,strict
JUNG1,2020-05-23 18:28:00,2020-05-24 04:14:00,2020-05-24 04:16:00,4.550095151991103,5.608238542147594,0.49721770743141525,strict
JUNG1,2020-05-24 01:32:00,2020-05-24 04:14:00,2020-05-24 04:16:00,3.889846329629076,6.551218276463107,-0.1630311149306124,strict
JUNG1,2020-05-24 18:16:00,2020-05-26 12:24:00,2020-05-26 12:26:00,3.7054986838541732,7.378857000547608,-0.7993470798626946,strict
JUNG1,2020-05-25 06:18:00,2020-05-26 12:24:00,2020-05-26 12:26:00,4.356172876771151,6.450301531581731,-0.1486728869457176,strict
JUNG1,2020-05-25 20:42:00,2020-05-26 12:24:00,2020-05-26 12:26:00,4.505720565792892,8.08592405983869,0.0008748020760238194,strict
JUNG1,2020-05-26 06:02:00,2020-05-26 12:24:00,2020-05-26 12:26:00,4.433956288674719,5.565736206941534,-0.07088947504214929,strict
JUNG1,2020-05-27 13:54:00,2020-05-29 00:52:00,2020-05-29 00:54:00,2.8521165103459074,6.6586719314221,0.223433685522626,strict
JUNG1,2020-05-27 23:42:00,2020-05-29 00:52:00,2020-05-29 00:54:00,2.8273620761525446,5.28128874802944,0.1986792513292628,strict
JUNG1,2020-05-31 05:54:00,2020-06-01 09:10:00,2020-06-01 09:12:00,2.686905648014375,5.819391671088498,0.11903148657508235,strict
JUNG1,2020-06-27 12:16:00,2020-06-28 23:56:00,2020-06-28 23:58:00,3.2392825345262235,5.966821796572667,0.3093059105411353,strict
JUNG1,2020-06-28 22:42:00,2020-06-29 21:00:00,2020-06-29 21:02:00,3.251715108532828,6.061196743091059,0.13965795169553336,strict
JUNG1,2020-07-02 02:38:00,2020-07-03 01:32:00,2020-07-03 01:34:00,3.1982199960282824,4.996435356341109,0.1627570400446512,strict
JUNG1,2020-07-09 00:22:00,2020-07-09 19:40:00,2020-07-09 19:42:00,3.2102338131928465,8.22027310570661,-0.04271856036010803,strict
JUNG1,2020-07-09 21:10:00,2020-07-11 06:46:00,2020-07-11 06:48:00,3.3868978579617632,6.9207279696703985,0.3888091944082438,strict
JUNG1,2020-07-31 18:18:00,2020-08-01 23:34:00,2020-08-01 23:36:00,2.6699234329852604,5.736530870421763,0.024320106372976224,strict
JUNG1,2020-08-01 20:52:00,2020-08-01 23:34:00,2020-08-01 23:36:00,2.697924802443784,6.815770661774905,0.052321475831499674,strict
JUNG1,2020-08-05 17:28:00,2020-08-06 13:32:00,2020-08-06 13:34:00,3.4619152794578687,8.989863380818699,-0.19385593087765526,strict
JUNG1,2020-08-08 20:06:00,2020-08-09 07:56:00,2020-08-09 07:58:00,2.257853826985394,5.572286251134502,-0.023716979022131747,strict
JUNG1,2020-08-15 13:36:00,2020-08-15 18:00:00,2020-08-15 18:02:00,2.6469081302449737,5.34765484882126,-0.07423613952475495,strict
JUNG1,2020-08-16 05:50:00,2020-08-17 15:24:00,2020-08-17 15:26:00,3.088561179741656,5.875044528120019,0.022415839546698617,strict
JUNG1,2020-08-17 11:48:00,2020-08-18 23:58:00,2020-08-19 00:00:00,3.2889257756497887,5.416508675286133,0.019498651649842453,strict
JUNG1,2020-08-18 14:08:00,2020-08-18 23:58:00,2020-08-19 00:00:00,3.048184113769758,6.498250539562538,-0.2212430102301881,strict
JUNG1,2020-08-19 06:12:00,2020-08-20 10:04:00,2020-08-20 10:06:00,2.6678457064546874,6.2667954942390995,-0.06165492608150987,strict
JUNG1,2020-08-20 13:08:00,2020-08-20 23:02:00,2020-08-20 23:04:00,2.7883088355243846,6.6960305355355905,0.11409145659205185,strict
JUNG1,2020-08-22 02:48:00,2020-08-23 19:26:00,2020-08-23 19:28:00,2.1493775933609918,6.169387170079464,0.0,strict
JUNG1,2020-09-04 20:18:00,2020-09-06 03:44:00,2020-09-06 03:46:00,2.1643763207175506,5.321307129702492,-0.13996140797442705,strict
JUNG1,2020-09-13 23:16:00,2020-09-15 23:02:00,2020-09-15 23:04:00,2.8349465309200257,5.368436631537961,-0.10015474029217925,strict
JUNG1,2020-09-15 23:12:00,2020-09-16 03:34:00,2020-09-16 03:36:00,3.067553555266828,7.756886204142366,0.12175527068957469,strict
JUNG1,2021-02-25 12:22:00,2021-02-26 15:56:00,2021-02-26 15:58:00,2.1624869541316345,5.382774471492075,-0.30361431040547526,strict
JUNG1,2021-03-13 20:34:00,2021-03-13 20:34:00,2021-03-13 20:36:00,3.255580227026689,5.733292337916974,0.2816039569881584,strict
JUNG1,2021-03-28 15:14:00,2021-03-28 19:56:00,2021-03-28 19:58:00,2.495122020922941,4.947794661100248,-0.16743687629764456,strict
JUNG1,2021-04-27 23:58:00,2021-04-29 20:42:00,2021-04-29 20:44:00,2.4463220023595325,6.107760228797052,0.027440837047178153,strict
JUNG1,2021-07-16 21:44:00,2021-07-16 22:46:00,2021-07-16 22:48:00,3.243614838177706,6.054351038565632,-0.41732363660742827,strict
JUNG1,2021-08-12 07:56:00,2021-08-12 22:30:00,2021-08-12 22:32:00,3.012676576143887,4.763452051945328,0.11865354769167598,strict
JUNG1,2021-08-12 16:48:00,2021-08-12 22:30:00,2021-08-12 22:32:00,2.8723224422897817,5.561166052565692,-0.02170058616242945,strict
JUNG1,2021-08-20 10:36:00,2021-08-21 07:42:00,2021-08-21 07:44:00,2.816561027794691,5.374256243130518,0.3445626755526897,strict
JUNG1,2021-09-09 13:26:00,2021-09-11 05:38:00,2021-09-11 05:40:00,2.6397289155059025,5.797938737796523,-0.13635230699307718,strict
JUNG1,2021-09-12 16:14:00,2021-09-12 20:42:00,2021-09-12 20:44:00,3.1158032371060633,4.333179848097222,-0.01864335266353777,strict
JUNG1,2021-09-23 13:54:00,2021-09-25 03:58:00,2021-09-25 04:00:00,2.9734927602047025,7.41784056071688,0.2092877123282029,strict
JUNG1,2021-09-25 18:06:00,2021-09-25 23:28:00,2021-09-25 23:30:00,3.2529842632129395,6.341040444489894,0.09940395519116263,strict
JUNG1,2021-09-29 14:36:00,2021-09-29 23:28:00,2021-09-29 23:30:00,3.2481958819760033,5.580620873711861,0.13509916732997201,strict
JUNG1,2021-10-01 12:26:00,2021-10-01 12:26:00,2021-10-01 12:28:00,2.992401239647366,6.069326506577732,0.15902771661866358,strict
JUNG1,2021-12-30 15:52:00,2021-12-31 18:40:00,2021-12-31 18:42:00,2.3671710075152266,4.895342489974106,-0.5543812068759184,strict
JUNG1,2022-01-22 23:12:00,2022-01-23 01:24:00,2022-01-23 01:26:00,2.7676614258845675,4.993361299688125,0.07773771826482012,strict
JUNG1,2022-01-27 13:58:00,2022-01-27 23:52:00,2022-01-27 23:58:00,3.7698743735637357,6.358808379193924,-0.01576262259284214,strict
JUNG1,2022-03-17 08:18:00,2022-03-19 04:08:00,2022-03-19 04:10:00,3.008298790426121,5.93463768596094,-0.04817360060856912,strict
JUNG1,2022-04-18 10:38:00,2022-04-19 00:38:00,2022-04-19 00:40:00,3.092734792058655,5.789979199759909,-0.02440361275683281,strict
JUNG1,2022-05-18 20:38:00,2022-05-20 01:24:00,2022-05-20 01:26:00,3.426088028972412,5.612668346927655,0.2310306591577478,strict
JUNG1,2022-05-26 10:28:00,2022-05-28 02:12:00,2022-05-28 02:14:00,2.6866859666365697,5.632559334638008,0.1847209727795709,strict
JUNG1,2022-06-21 13:38:00,2022-06-21 18:38:00,2022-06-21 18:40:00,2.869453173448245,5.540917179128426,0.18687945105785572,strict
JUNG1,2022-07-17 13:12:00,2022-07-19 05:48:00,2022-07-19 05:50:00,3.417395753748875,4.930755353715851,0.06659643458857203,strict
JUNG1,2022-08-02 02:54:00,2022-08-04 01:14:00,2022-08-04 01:16:00,2.859881539384971,5.202270327729575,0.2261918722068027,strict
JUNG1,2022-09-14 03:58:00,2022-09-14 08:26:00,2022-09-14 08:28:00,2.7099980519650604,6.8626506816507495,0.2566483104198234,strict
JUNG1,2022-11-12 03:58:00,2022-11-12 09:42:00,2022-11-12 09:44:00,3.1510361348836833,6.570574506440101,0.21205574188871745,strict
JUNG1,2023-06-30 07:02:00,2023-07-01 23:38:00,2023-07-01 23:40:00,3.830610462469296,5.715344017218186,0.4033189562627173,strict
JUNG1,2023-09-16 00:20:00,2023-09-16 05:08:00,2023-09-16 05:10:00,3.8754594881367646,6.04324860298394,0.48403416743556044,strict
JUNG1,2023-10-11 01:20:00,2023-10-12 01:06:00,2023-10-12 01:08:00,2.925822458907811,6.290422677166509,0.16877534501652078,strict
JUNG1,2024-01-28 06:28:00,2024-01-30 03:08:00,2024-01-30 03:10:00,3.159437264315374,5.496583458939508,0.2225101948853328,strict
JUNG1,2024-05-12 04:40:00,2024-05-14 02:12:00,2024-05-14 02:14:00,2.262683508551577,5.635451590052218,-1.3635470176875018,strict
JUNG1,2024-05-18 11:54:00,2024-05-20 02:28:00,2024-05-20 02:30:00,4.009230627520159,5.1135815435117555,0.29868927006528073,strict
JUNG1,2024-05-31 14:30:00,2024-05-31 17:52:00,2024-05-31 18:02:00,2.951387472291641,5.109689119502373,0.5732627438497296,strict
JUNG1,2024-07-07 01:54:00,2024-07-07 02:46:00,2024-07-07 02:48:00,3.611479420926348,5.812737281755993,0.22792897255756883,strict
JUNG1,2024-07-23 01:26:00,2024-07-24 05:12:00,2024-07-24 05:14:00,3.690941323286832,5.1714504725198855,0.2804496837909642,strict
JUNG1,2024-07-25 22:34:00,2024-07-25 23:54:00,2024-07-25 23:56:00,4.258633338171662,6.025315198237239,0.03005727128719502,strict
JUNG1,2024-08-16 13:38:00,2024-08-18 10:12:00,2024-08-18 10:14:00,3.812647038369648,4.3131077437613055,0.03214524684927566,strict
JUNG1,2024-10-11 05:40:00,2024-10-11 05:52:00,2024-10-11 08:18:00,4.338049170568324,6.594187796140797,0.5938873060368008,strict
JUNG1,2024-11-02 00:00:00,2024-11-03 12:02:00,2024-11-03 12:04:00,2.471744848844147,4.802341045970761,-0.2269840752922795,strict
JUNG1,2024-12-08 14:58:00,2024-12-09 05:58:00,2024-12-09 06:00:00,2.964319590985024,4.715911327234834,0.15475778062519396,strict
