time,duration,magnitude,ons type,V max,B max
1958-08-18 00:00,36,2.69,,,
1958-08-22 02:24,36,3.23,SSC,,
1958-08-24 01:36,21,7.94,SSC,,
1958-08-25 02:00,29,1.23,,,
1958-08-27 03:00,36,4.24,SSC,,
1958-08-30 18:00,67,1.61,,,
1958-09-03 08:42,26,6.32,SSC,,
1958-09-04 14:00,36,2.85,,,
1958-09-07 18:00,33,1.01,,,
1958-09-09 09:00,49,0.99,,,
1958-09-15 10:00,21,2.87,,,
1958-09-16 09:30,36,2.74,SSC,,
1958-09-20 10:00,70,1.29,,,
1958-09-25 04:06,41,2.94,SSC,,
1958-09-30 10:06,65,2.71,SSC,,
1958-10-03 04:00,26,0.62,,,
1958-10-05 22:00,19,0.72,,,
1958-10-06 20:00,24,2.29,,,
1958-10-07 23:00,36,1.05,,,
1958-10-09 22:00,36,1.17,,,
1958-10-12 01:00,44,1.34,,,
1958-10-16 01:00,36,0.77,,,
1958-10-18 14:00,36,0.75,,,
1958-10-20 19:00,28,0.84,,,
1958-10-22 03:12,15,1.02,SSC,,
1958-10-22 20:00,31,5.46,,,
1958-10-24 07:30,36,2.12,SSC,,
1958-10-27 15:18,14,0.99,SSC,,
1958-10-28 06:48,32,1.05,SSC,,
1958-10-29 20:00,19,0.57,,,
1958-10-30 18:00,34,1.18,,,
1958-11-01 10:00,4,0.17,SSC,,
1958-11-01 14:54,72,1.64,SSC,,
1958-11-07 12:00,29,0.84,,,
1958-11-10 03:00,20,0.75,,,
1958-11-11 02:00,36,2.22,,,
1958-11-16 15:00,45,0.72,,,
1958-11-19 12:00,57,0.91,,,
1958-11-23 06:00,38,0.95,,,
1958-11-25 15:00,36,1.99,,,
1958-11-28 01:06,44,1.95,SSC,,
1958-12-01 06:00,25,0.74,,,
1958-12-02 10:00,33,1.23,,,
1958-12-04 00:36,34,3.07,SSC,,
1958-12-05 17:00,36,0.91,,,
1958-12-07 21:00,18,1.02,,,
1958-12-08 18:00,27,0.88,,,
1958-12-10 01:00,55,2.04,,,
1958-12-13 00:00,33,2.33,SSC,,
1958-12-14 15:00,26,1.12,,,
1958-12-15 20:18,31,0.76,SSC,,
1958-12-17 15:42,2,0,SSC,,
1958-12-17 18:18,27,4.83,SSC,,
1958-12-19 00:00,36,0.86,,,
1958-12-22 14:00,44,1.1,,,
1958-12-25 01:00,65,2.24,,,
1959-01-02 11:18,30,0.88,SSC,,
1959-01-05 01:36,36,2.35,SSC,,
1959-01-07 01:00,36,0.8,,,
1959-01-09 14:54,31,3.7,SSC,,
1959-01-11 03:00,36,1.11,,,
1959-01-14 06:06,41,0.84,SSC,,
1959-01-16 09:24,39,1.18,SSC,,
1959-01-25 08:54,59,5.24,SSC,,
1959-01-28 19:00,76,3.16,,,
1959-02-02 05:00,80,1.55,,,
1959-02-08 23:00,36,1.8,,,
1959-02-11 03:18,4,0.7,SSC,,
1959-02-11 07:54,37,6.62,SSC,,
1959-02-14 11:42,36,4.89,SSC,,
1959-02-16 18:00,74,2.43,,,
1959-02-22 00:42,53,0.72,SSC,,
1959-02-25 01:00,37,1.82,,,
1959-02-27 14:00,70,2.94,,,
